bitarray
|   arg    |                    call                    |                                                      col2                                                      | col3 |
+----------+--------------------------------------------+----------------------------------------------------------------------------------------------------------------+------+
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:3733:27:3733:30       |   66 |
| it       | call to PyObject_GC_UnTrack                | bitarray/bitarray/_bitarray.c:3492:25:3492:26       |    0 |
| it       | call to PyObject_GC_Del                    | bitarray/bitarray/_bitarray.c:3494:21:3494:22       |    0 |
| it       | call to PyObject_GC_Track                  | bitarray/bitarray/_bitarray.c:3472:23:3472:24       |    1 |
| args     | call to _PyArg_ParseTupleAndKeywords_SizeT | bitarray/bitarray/_bitarray.c:3326:38:3326:41       | 3755 |
| buffer   | call to PyObject_GetBuffer                 | bitarray/bitarray/_bitarray.c:3245:28:3245:33       |   44 |
| obj      | call to PyObject_Free                      | bitarray/bitarray/_bitarray.c:3263:22:3263:24       |    0 |
| it       | call to PyObject_GC_UnTrack                | bitarray/bitarray/_bitarray.c:3072:25:3072:26       |    0 |
| it       | call to PyObject_GC_Del                    | bitarray/bitarray/_bitarray.c:3075:21:3075:22       |    0 |
| it       | call to PyObject_GC_Track                  | bitarray/bitarray/_bitarray.c:3047:23:3047:24       |    1 |
| it       | call to PyObject_GC_UnTrack                | bitarray/bitarray/_bitarray.c:2969:25:2969:26       |    0 |
| it       | call to PyObject_GC_Del                    | bitarray/bitarray/_bitarray.c:2971:21:2971:22       |    0 |
| it       | call to PyObject_GC_Track                  | bitarray/bitarray/_bitarray.c:2938:23:2938:24       |    1 |
| list     | call to PyList_Append                      | bitarray/bitarray/_bitarray.c:2879:27:2879:30       |    1 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:2707:27:2707:30       |  123 |
| dict     | call to PyDict_SetItem                     | bitarray/bitarray/_bitarray.c:2649:28:2649:31       |    1 |
| codedict | call to PyDict_Next                        | bitarray/bitarray/_bitarray.c:2595:24:2595:31       |  175 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:2457:27:2457:30       |   72 |
| iterable | call to PyObject_GetIter                   | bitarray/bitarray/_bitarray.c:2463:29:2463:36       |   28 |
| codedict | call to PyDict_GetItem                     | bitarray/bitarray/_bitarray.c:2470:32:2470:39       |   43 |
| codedict | call to PyDict_Size                        | bitarray/bitarray/_bitarray.c:2429:21:2429:28       |  199 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1671:27:1671:30       |   13 |
| args     | call to _PyArg_ParseTupleAndKeywords_SizeT | bitarray/bitarray/_bitarray.c:1608:38:1608:41       |   17 |
| f        | call to _PyObject_CallMethod_SizeT         | bitarray/bitarray/_bitarray.c:1562:35:1562:35       |   26 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1501:27:1501:30       |   39 |
| f        | call to _PyObject_CallMethod_SizeT         | bitarray/bitarray/_bitarray.c:1512:37:1512:37       |   21 |
| list     | call to PyList_SetItem                     | bitarray/bitarray/_bitarray.c:1420:28:1420:31       |    1 |
| args     | call to _PyArg_ParseTupleAndKeywords_SizeT | bitarray/bitarray/_bitarray.c:1391:38:1391:41       |   17 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1328:27:1328:30       | 1785 |
| list     | call to PyList_Size                        | bitarray/bitarray/_bitarray.c:1338:25:1338:28       |    1 |
| list     | call to PyList_Append                      | bitarray/bitarray/_bitarray.c:1341:43:1341:46       |    1 |
| self     | call to PyObject_GetAttrString             | bitarray/bitarray/_bitarray.c:1206:48:1206:51       |    0 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1173:27:1173:30       |   18 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1146:27:1146:30       |    6 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:1077:27:1077:30       | 1744 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:987:27:987:30         |  122 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_bitarray.c:849:27:849:30         |   24 |
| obj      | call to PyObject_GetIter                   | bitarray/bitarray/_bitarray.c:752:29:752:31         | 1815 |
| self     | call to PyObject_ClearWeakRefs             | bitarray/bitarray/_bitarray.c:148:45:148:48         |    0 |
| obj      | call to PyObject_Free                      | bitarray/bitarray/_bitarray.c:130:26:130:28         |    0 |
| func     | call to PyObject_CallFunctionObjArgs       | bitarray/bitarray/pythoncapi_compat.h:253:41:253:44 |    0 |
| func     | call to PyObject_CallFunctionObjArgs       | bitarray/bitarray/pythoncapi_compat.h:242:41:242:44 |    0 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:727:27:727:30             |   40 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:652:27:652:30             |   59 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:588:27:588:30             |   96 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:488:27:488:30             | 1746 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:277:27:277:30             | 1831 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:208:27:208:30             | 1854 |
| args     | call to _PyArg_ParseTuple_SizeT            | bitarray/bitarray/_util.c:115:27:115:30             | 1901 |
| obj      | call to PyObject_IsInstance                | bitarray/bitarray/_util.c:26:29:26:31               | 2271 |
distance
|       arg       |                call                 |                                                   col2                                                    | col3 |
+-----------------+-------------------------------------+-----------------------------------------------------------------------------------------------------------+------+
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:525:35:525:38    |    0 |
| arg2            | call to PyObject_GetIter            | distance/cdistance/distance.c:532:31:532:34    |    0 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:481:35:481:38    |    2 |
| arg2            | call to PyObject_GetIter            | distance/cdistance/distance.c:490:31:490:34    |    2 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:409:35:409:38    |    5 |
| otr             | call to PyObject_IsTrue             | distance/cdistance/distance.c:412:47:412:49    |    0 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:361:35:361:38    |   10 |
| onorm           | call to PyObject_IsTrue             | distance/cdistance/distance.c:364:45:364:49    |    0 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:308:35:308:38    |   10 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:249:35:249:38    |    0 |
| opos            | call to PyObject_IsTrue             | distance/cdistance/distance.c:252:43:252:46    |    0 |
| args            | call to PyArg_ParseTupleAndKeywords | distance/cdistance/distance.c:128:35:128:38    |    0 |
| odo_normalize   | call to PyObject_IsTrue             | distance/cdistance/distance.c:132:55:132:67    |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/fastcomp.c:47:11:47:23      |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/fastcomp.c:69:13:69:25      |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/fastcomp.c:73:14:73:26      |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/hamming.c:13:10:13:22       |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/lcsubstrings.c:36:11:36:23  |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/levenshtein.c:150:11:150:23 |    0 |
| ... ? ... : ... | call to PyObject_RichCompareBool    | distance/cdistance/levenshtein.c:63:11:63:23   |    0 |
noise
| arg  |                call                 |                                           col2                                            | col3 |
+------+-------------------------------------+-------------------------------------------------------------------------------------------+------+
| args | call to PyArg_ParseTupleAndKeywords | noise/_perlin.c:220:35:220:38  |    0 |
